,KEY,ID RESTAURANT,GRADE,CAMIS,DBA,Latitude,Longitude,Cluster,Data Source,PREDICTED_SCORE,Exponential Smoothed Score,Probabilistic risk Score,i1,i2,i3,i4,i5,v1,v2,v3,v4,v5,Number of Inspections,LAST VIOLATIONS,inspection_date_1,inspection_date_2,inspection_date_3,inspection_date_4,inspection_date_5,LAST INSPECTION
20971,50139796-20230913,50139796,A,50139796,La Panineria,40.69211919,-73.98469961,0,Test,2.783646179,2.772328623,3.142954884,2,,,,,10F,,,,,1,10F,20230913,,,,,20230913
20972,50139808-20231024,50139808,A,50139808,DIM SUM PALACE,40.70910465,-74.00689289,6,Test,7.724897097,7.724897097,8.75762089,7,,,,,02B,,,,,1,02B,20231024,,,,,20231024
20973,50139820-20231219,50139820,A,50139820,PING'S RESTAURANT,40.71430894,-73.9987555,3,Test,13.83641169,13.83641169,15.68616986,13,,,,,"04M,04N,08A,08C",,,,,1,"04M,04N,08A,08C",20231219,,,,,20231219
20974,50139826-20230926,50139826,A,50139826,OASIS JIMMA JUICE BAR,40.8219282,-73.95003454,0,Test,2.783646179,2.772328623,3.142954884,3,,,,,10F,,,,,1,10F,20230926,,,,,20230926
20975,50139844-20230914,50139844,A,50139844,DUNKIN & JIMMY JOHN's,40.74978458,-73.98981133,3,Test,10.51831913,10.51831913,11.92448911,11,,,,,"04N,08A",,,,,1,"04N,08A",20230914,,,,,20230914
20976,50139866-20230921,50139866,C,50139866,Manos Amigas Nutrition,40.85823237,-73.9023135,5,Test,32.11142735,32.11142735,36.4043305,,,,,,,,,,,,,,,,,,
20977,50139890-20240116,50139890,A,50139890,GREAT FOREST FOODS,40.63545374,-74.01105027,6,Test,9.802566798,9.802566798,11.11304949,10,,,,,"02B,10B",,,,,1,"02B,10B",20240116,,,,,20240116
20978,50139903-20231220,50139903,A,50139903,18.5 GRAM COFFEE,40.76256839,-73.80456202,5,Test,10.04897527,10.04897527,11.39239975,10,,,,,04A,,,,,1,04A,20231220,,,,,20231220
20979,50139922-20230815,50139922,A,50139922,WAFELS & DINGES/PERROS Y VAINAS,,,5,Test,9.592728591,9.592728591,10.8751585,12,,,,,"04H,10B",,,,,1,"04H,10B",20230815,,,,,20230815
20980,50139935-20231003,50139935,A,50139935,SANMA JAPANESE RESTAURANT,40.61173074,-74.15883022,0,Test,9.807245044,9.743560058,11.04615428,10,,,,,"04C,10F",,,,,1,"04C,10F",20231003,,,,,20231003
20981,50139947-20231003,50139947,A,50139947,CRAFT + CARRY,40.74191028,-73.99724653,5,Test,10.04897527,10.04897527,11.39239975,10,,,,,04A,,,,,1,04A,20231003,,,,,20231003
20982,50139959-20231127,50139959,C,50139959,KOHARU JAPANESE RESTAURANT,40.71414361,-73.94835172,0,Test,26.95528337,26.97772847,30.58431917,,,,,,,,,,,,,,,,,,
20983,50140001-20230914,50140001,A,50140001,VAN LEEUWEN ICE CREAM,40.75951963,-73.98440612,0,Test,12.3921422,12.39496927,14.05202431,12,,,,,"04A,10F",,,,,1,"04A,10F",20230914,,,,,20230914
20984,50140002-20231003,50140002,B,50140002,HENRIETTA,40.72099238,-74.00415235,3,Test,21.18116669,21.18116669,24.01282834,22,,,,,"02G,04N,08A,10F",,,,,1,"02G,04N,08A,10F",20231003,,,,,20231003
20985,50140014-20231130,50140014,A,50140014,DOUGHGIRL CUPCAKES,40.60992885,-73.92228162,0,Test,2.783646179,2.772328623,3.142954884,3,,,,,10F,,,,,1,10F,20231130,,,,,20231130
